,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,2025-03-14 17:00:03.180000,0.9067383,0.28222656,0.23242188,0.18310545,0.67138666,-0.67138666
1,2025-03-14 17:00:03.190000,0.9057617,0.28295898,0.234375,-0.122070305,1.0986328,-0.67138666
2,2025-03-14 17:00:03.200000,0.9055176,0.2836914,0.23535156,-0.122070305,1.3427733,-0.61035156
3,2025-03-14 17:00:03.210000,0.90478516,0.28295898,0.2368164,0.0,1.0986328,-0.61035156
4,2025-03-14 17:00:03.220000,0.9038086,0.28295898,0.23925781,0.18310545,0.7324218,-0.5493164
5,2025-03-14 17:00:03.230000,0.9057617,0.28710938,0.23583984,0.42724606,0.42724606,-0.48828122
6,2025-03-14 17:00:03.240000,0.9082031,0.2841797,0.23242188,0.48828122,0.3662109,-0.5493164
7,2025-03-14 17:00:03.250000,0.9067383,0.28320312,0.23413086,0.24414061,0.793457,-0.5493164
8,2025-03-14 17:00:03.260000,0.90478516,0.28564453,0.23413086,-0.122070305,1.159668,-0.48828122
9,2025-03-14 17:00:03.270000,0.9069824,0.28393555,0.2397461,-0.122070305,0.793457,-0.5493164
10,2025-03-14 17:00:03.280000,0.9086914,0.28295898,0.23803711,0.122070305,0.18310545,-0.48828122
11,2025-03-14 17:00:03.290000,0.9069824,0.28149414,0.23339844,-0.061035153,0.061035153,-0.42724606
12,2025-03-14 17:00:03.300000,0.9069824,0.28051758,0.23071289,-0.24414061,0.3662109,-0.42724606
13,2025-03-14 17:00:03.310000,0.90625,0.28149414,0.23388672,-0.42724606,0.7324218,-0.42724606
14,2025-03-14 17:00:03.320000,0.9069824,0.28100586,0.23510742,-0.61035156,0.48828122,-0.30517578
15,2025-03-14 17:00:03.330000,0.9057617,0.27954102,0.23144531,-0.48828122,-0.18310545,-0.30517578
16,2025-03-14 17:00:03.340000,0.90649414,0.28027344,0.22998047,-0.48828122,-0.3662109,-0.30517578
