,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
49,2025-03-14 17:00:03.149999,-0.37768555,0.7780762,0.5168457,-1.159668,-2.2583008,-0.24414061
50,2025-03-14 17:00:03.159999,-0.38110352,0.7766113,0.5102539,-0.48828122,-0.97656244,-0.122070305
51,2025-03-14 17:00:03.170000,-0.38305664,0.77197266,0.5031738,0.061035153,0.122070305,0.061035153
52,2025-03-14 17:00:03.180000,-0.3864746,0.77197266,0.4970703,0.7324218,0.7324218,0.122070305
53,2025-03-14 17:00:03.190000,-0.39013672,0.7753906,0.47875977,1.3427733,0.48828122,-0.18310545
54,2025-03-14 17:00:03.200000,-0.38378906,0.78149414,0.46166992,1.4648436,-0.061035153,-0.061035153
55,2025-03-14 17:00:03.210000,-0.38061523,0.77783203,0.4572754,0.97656244,-0.3662109,0.18310545
56,2025-03-14 17:00:03.220000,-0.37939453,0.7751465,0.46166992,0.7324218,-0.42724606,0.061035153
57,2025-03-14 17:00:03.230000,-0.38452148,0.7727051,0.46362305,0.7324218,-0.793457,-0.18310545
58,2025-03-14 17:00:03.240000,-0.38891602,0.7692871,0.4650879,0.9155273,-1.2817382,-0.3662109
59,2025-03-14 17:00:03.250000,-0.39111328,0.77075195,0.46606445,1.0375977,-1.8310546,-0.5493164
60,2025-03-14 17:00:03.260000,-0.39160156,0.7751465,0.4716797,0.8544921,-2.380371,-0.5493164
61,2025-03-14 17:00:03.270000,-0.39038086,0.77075195,0.4794922,0.67138666,-2.319336,0.0
62,2025-03-14 17:00:03.280000,-0.39379883,0.77075195,0.49023438,0.9155273,-1.3427733,0.30517578
63,2025-03-14 17:00:03.290000,-0.40014648,0.7739258,0.49536133,1.586914,-0.3662109,0.48828122
64,2025-03-14 17:00:03.300000,-0.39453125,0.7741699,0.50268555,2.319336,0.42724606,0.793457
65,2025-03-14 17:00:03.310000,-0.3786621,0.78100586,0.5053711,2.868652,1.2817382,0.793457
66,2025-03-14 17:00:03.320000,-0.36279297,0.7873535,0.5048828,3.3569334,2.2583008,0.793457
67,2025-03-14 17:00:03.330000,-0.3491211,0.7919922,0.5007324,3.5400388,3.6621091,0.67138666
68,2025-03-14 17:00:03.340000,-0.34472656,0.7944336,0.4987793,3.3569334,5.187988,0.42724606
69,2025-03-14 17:00:03.350000,-0.3474121,0.7939453,0.4975586,3.3569334,6.2255855,0.30517578
70,2025-03-14 17:00:03.360000,-0.35180664,0.7961426,0.49389648,3.5400388,6.469726,-0.18310545
71,2025-03-14 17:00:03.370000,-0.35717773,0.79418945,0.47631836,3.5400388,5.7983394,-0.7324218
72,2025-03-14 17:00:03.380000,-0.3630371,0.7873535,0.46435547,3.1127927,4.638672,-0.9155273
73,2025-03-14 17:00:03.390000,-0.37304688,0.78344727,0.46069336,2.807617,3.7231443,-1.4038085
74,2025-03-14 17:00:03.400000,-0.38012695,0.7800293,0.45263672,2.868652,3.6621091,-1.8310546
75,2025-03-14 17:00:03.410000,-0.39282227,0.7758789,0.44848633,2.807617,3.601074,-1.9531249
76,2025-03-14 17:00:03.420000,-0.39672852,0.7702637,0.44995117,2.807617,3.234863,-2.0141602
77,2025-03-14 17:00:03.430000,-0.3930664,0.7709961,0.45458984,3.1127927,3.173828,-2.1972656
78,2025-03-14 17:00:03.440000,-0.39794922,0.7746582,0.4633789,3.2958982,4.1503906,-2.2583008
79,2025-03-14 17:00:03.450000,-0.40014648,0.7763672,0.47045898,3.5400388,5.615234,-2.1972656
80,2025-03-14 17:00:03.460000,-0.39990234,0.77490234,0.47973633,4.0283203,7.202148,-1.9531249
81,2025-03-14 17:00:03.470000,-0.3942871,0.7734375,0.49072266,4.5776367,8.666992,-1.2207031
