acc_is,acc_ml,acc_pa
1.1831350500000002,-9.369315180000001,0.04550859
1.1999003400000001,-9.259148880000001,0.06945480000000001
0.9292718700000001,-9.12502656,0.14130324
0.5987533500000001,-9.01964754,0.18681183
0.50055525,-9.04120011,0.12693159
0.613125,-9.14897277,0.20597076000000003
0.7807779,-9.28070145,0.38080458
1.02027924,-9.333390960000001,0.40954788000000003
1.21187835,-9.30464766,0.35207109
1.2501962100000001,-9.26154252,0.28740357
1.24062165,-9.342975330000002,0.27303192
1.33881975,-9.39086775,0.23232042000000003
1.5184408500000002,-9.29986038,0.17244018
1.66214754,-9.21364029,0.14610033
1.74597399,-9.18010971,0.15088761
1.7938664100000001,-9.15376005,0.14610033
1.8058444200000001,-9.103473990000001,0.12693159
1.8154287900000001,-9.02682846,0.11496339000000001
1.86092757,-8.99808516,0.10537902
1.88488359,-9.0004788,0.07903917
1.839375,-8.995691520000001,0.03592422
1.8250033500000002,-9.01245681,0.047902230000000004
1.8513530100000002,-9.04120011,0.13172868000000001
1.84176864,-9.11304855,0.21075804
1.81302534,-9.17532243,0.26344755000000003
1.7914727700000002,-9.22322466,0.347274
1.7866854900000002,-9.29986038,0.39756987000000005
1.7866854900000002,-9.350156250000001,0.37123002000000005
1.7747074800000002,-9.37650591,0.32093415000000003
1.73878326,-9.393271200000001,0.28021284
1.66454118,-9.381293190000001,0.27542556
1.60466094,-9.34057188,0.27542556
1.59748002,-9.3357846,0.26105391
1.54718415,-9.30464766,0.26344755000000003
1.4585704200000003,-9.28548873,0.265851
1.40347746,-9.29746674,0.24428862
1.33881975,-9.302254020000001,0.2083644
1.28613024,-9.31423203,0.17483382000000003
1.23583437,-9.3070413,0.14610033
1.18793214,-9.29986038,0.12933504
1.17834777,-9.25675524,0.14369688
1.16636976,-9.21364029,0.14369688
1.1951130600000002,-9.151366410000001,0.11975067000000002
1.2573869400000002,-9.10586763,0.12214431
1.3507879500000002,-9.06994341,0.08861373
1.44180513,-9.036412830000002,0.08382645000000001
1.49688828,-9.02204118,0.05747679
1.5184408500000002,-9.06035904,0.04311495
1.5399934200000003,-9.0867087,0.03831786
1.5304188600000002,-9.079517970000001,0.05747679
1.50167556,-9.09388962,0.08861373
1.44659241,-9.09388962,0.11256975000000001
1.34839431,-9.05077467,0.12693159
1.26456786,-9.02443482,0.12453795000000001
1.23822801,-9.01724409,0.11496339000000001
1.22625,-9.06994341,0.07424208
1.2070910700000002,-9.14897277,0.06945480000000001
1.25259966,-9.206459370000001,0.13412232000000002
1.3052891700000002,-9.283095090000002,0.19399275000000002
1.34360703,-9.35974062,0.17963091
1.2789395099999998,-9.35974062,0.13412232000000002
1.3052891700000002,-9.28070145,0.10298538000000002
1.3052891700000002,-9.20405592,0.09340101
1.3076828100000002,-9.199268640000001,0.07424208
1.26456786,-9.24238359,0.06945480000000001
1.3148637300000001,-9.278307810000001,0.07664553
1.3651596000000001,-9.25675524,0.07184844
1.3771376100000001,-9.26393616,0.07664553
1.3052891700000002,-9.21603393,0.06466752
1.33402266,-9.18729063,0.031136940000000002
1.3939029,-9.17532243,0.0
1.45377333,-9.199268640000001,0.00718092
1.4585704200000003,-9.196875,-0.00718092
1.4154554700000002,-9.16573806,-0.06706116000000001
1.37235033,-9.10586763,-0.06466752
1.41784911,-9.06994341,-0.07903917
1.48491027,-9.02443482,-0.13651596
1.5519714300000003,-9.01245681,-0.08622009
1.57113036,-9.03400938,-0.08622009
1.47772935,-9.03400938,-0.14130324
1.4681449800000002,-9.103473990000001,-0.17722746
1.4274334800000001,-9.13699476,-0.09100737
1.3627659600000002,-9.08910234,0.0
1.33881975,-9.14897277,0.03831786
1.32923538,-9.24717087,0.05268951
1.31725737,-9.19208772,0.05747679
1.27654587,-9.08430525,0.033530580000000004
1.3244481,-9.14897277,-0.05268951
1.4346144,-9.28070145,-0.15567489
1.5423968700000001,-9.27352053,-0.22034241
1.5926927400000002,-9.27111708,-0.19399275000000002
1.55916216,-9.302254020000001,-0.10537902
1.5208344900000001,-9.278307810000001,-0.0287433
1.4585704200000003,-9.23998995,0.05029587
1.40827455,-9.14179185,0.0981981
1.38911562,-9.09149598,0.12693159
1.3364163,-9.06035904,0.13172868000000001
1.30049208,-9.01245681,0.13890960000000002
1.30289553,-8.99329788,0.19878984000000002
1.3771376100000001,-9.09388962,0.24428862
1.4441987699999999,-9.17292879,0.25866027
1.5208344900000001,-9.17771607,0.23471406
1.59028929,-9.1561635,0.22034241
1.69088103,-9.14179185,0.19878984000000002
1.75554855,-9.194481360000001,0.12693159
1.73399598,-9.30464766,0.06945480000000001
1.67891283,-9.333390960000001,0.0
1.68848739,-9.25195815,-0.055083150000000004
1.67650938,-9.321412950000001,-0.08622009
1.58550201,-9.64713438,-0.15806852999999998
1.59028929,-9.66389967,-0.24908571000000002
1.68848739,-9.25435179,-0.20118348
1.65016953,-9.079517970000001,-0.16046217000000002
1.5399934200000003,-9.11544219,-0.20118348
1.5232281300000001,-9.02682846,-0.17244018
1.6094580299999999,-8.93342745,-0.11256975000000001
1.72680525,-8.91666216,-0.03592422
1.67891283,-9.048381030000002,0.047902230000000004
1.54718415,-9.27591417,0.10777265999999999
1.55916216,-9.35974062,0.19878984000000002
1.5783210900000002,-9.354943530000002,0.29697813
1.50167556,-9.350156250000001,0.3376994400000001
1.4441987699999999,-9.23998995,0.33530580000000004
1.39629654,-9.09149598,0.32811507
1.35797868,-9.02682846,0.33291216
1.4106681900000002,-9.06994341,0.32332779000000006
1.5184408500000002,-9.17771607,0.32332779000000006
1.57113036,-9.26872344,0.29219085
1.5304188600000002,-9.29986038,0.23950134000000003
1.5375997799999999,-9.27591417,0.18681183
1.58789565,-9.25435179,0.15806852999999998
1.6022673,-9.28070145,0.15328125
1.61424531,-9.32380659,0.10777265999999999
1.6262135100000001,-9.35254989,0.07903917
1.61185167,-9.34536897,0.08622009
1.58310837,-9.350156250000001,0.07424208
1.56873672,-9.32860368,0.07424208
1.56873672,-9.24956451,0.07903917
1.5399934200000003,-9.15376005,0.07903917
1.5399934200000003,-9.11065491,0.10059174
1.56873672,-9.0867087,0.10059174
1.55675871,-9.048381030000002,0.10059174
1.55675871,-9.0004788,0.10298538000000002
1.58310837,-9.01964754,0.07903917
1.61903259,-9.05317812,0.05029587
1.66693482,-9.10586763,0.031136940000000002
1.7028590399999999,-9.18010971,0.05029587
1.6310106,-9.21603393,0.12693159
1.47533571,-9.24717087,0.14849397
1.40347746,-9.25195815,0.12693159
1.4633577,-9.29746674,0.11496339000000001
1.58789565,-9.29746674,0.12453795000000001
1.61424531,-9.18969408,0.12453795000000001
1.55436507,-9.18489699,0.09340101
1.6094580299999999,-9.218427570000001,0.06945480000000001
1.75076127,-9.23998995,0.07424208
1.8585339300000001,-9.206459370000001,0.08861373
1.9327760100000002,-9.11783583,0.07184844
2.0022406200000002,-9.07233705,0.0981981
2.00942154,-9.0579654,0.15328125
1.93517946,-9.06514632,0.16525926000000002
1.8824899500000003,-9.01485045,0.1963962
1.7914727700000002,-8.99808516,0.18681183
1.6214262300000002,-9.0292221,0.10059174
1.4921010000000001,-8.98611696,-0.00958437
1.4202427499999999,-8.95498002,-0.01915893
1.44180513,-9.108261270000002,0.021552570000000004
1.43700804,-9.386080470000001,-0.0287433
1.3747439700000001,-9.41243013,-0.16046217000000002
1.3939029,-9.55133973,-0.17722746
1.3244481,-10.049501339999999,-0.20357712
