time,acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
2025-03-14 14:39:54.319000006+00:00,3.92783571,-6.593487390000001,5.22354051,8.728027,7.69043,0.061035
2025-03-14 14:39:54.328999996+00:00,3.9972905100000005,-6.70126005,5.29060167,7.446289,6.286621,0.854492
2025-03-14 14:39:54.338999987+00:00,3.9709408500000003,-6.768321210000001,5.37682176,6.652832,5.065918,1.525879
2025-03-14 14:39:54.348999977+00:00,3.8583809100000006,-6.768321210000001,5.39358705,5.859375,3.78418,1.831055
2025-03-14 14:39:54.358999968+00:00,3.78652266,-6.72282243,5.36484375,4.516602,1.77002,2.075195
2025-03-14 14:39:54.368999958+00:00,3.7601828100000003,-6.71084442,5.326525890000001,2.746582,-0.793457,2.13623
2025-03-14 14:39:54.380000114+00:00,3.7961070300000004,-6.70605714,5.30496351,0.854492,-3.356934,1.89209
2025-03-14 14:39:54.390000105+00:00,3.86077455,-6.7539593700000005,5.192403570000001,-1.037598,-5.065918,1.708984
2025-03-14 14:39:54.400000095+00:00,3.86556183,-6.828201450000001,5.0486968800000005,-2.563477,-5.859375,1.220703
2025-03-14 14:39:54.410000086+00:00,3.86556183,-6.902443530000001,4.92176529,-3.295898,-6.408691,0.915527
2025-03-14 14:39:54.420000076+00:00,3.9350166300000002,-6.98626998,4.8379388400000005,-3.845215,-7.141113,0.671387
2025-03-14 14:39:54.430000067+00:00,4.02123672,-7.144338510000001,4.74932511,-4.150391,-7.751465,0.244141
2025-03-14 14:39:54.440000057+00:00,4.0380020100000005,-7.268886270000001,4.639149,-3.967285,-8.056641,-0.244141
2025-03-14 14:39:54.450000048+00:00,4.07871351,-7.30481049,4.54335435,-2.746582,-8.239746,-0.793457
2025-03-14 14:39:54.460000038+00:00,4.12900938,-7.213803120000001,4.46431518,-1.342773,-8.056641,-1.525879
2025-03-14 14:39:54.470000029+00:00,4.14098739,-7.110817740000001,4.4020413000000005,-0.305176,-7.507324,-2.258301
2025-03-14 14:39:54.480000019+00:00,4.17451797,-7.0485438600000005,4.39246674,0.549316,-6.591797,-2.929688
2025-03-14 14:39:54.490000010+00:00,4.23918549,-6.9647174099999996,4.4140193100000005,1.708984,-5.249023,-3.479004
2025-03-14 14:39:54.500000+00:00,4.26792879,-6.87610368,4.4619215400000005,2.624512,-3.540039,-3.78418
2025-03-14 14:39:54.509000063+00:00,4.28948136,-6.809042520000001,4.52419542,3.173828,-1.77002,-3.601074
2025-03-14 14:39:54.519000052+00:00,4.30385301,-6.73479063,4.6152027900000006,3.356934,-0.183105,-3.173828
2025-03-14 14:39:54.529000044+00:00,4.31822466,-6.69168549,4.70621016,3.417969,1.220703,-2.441406
2025-03-14 14:39:54.539000034+00:00,4.22002656,-6.66773928,4.78524933,3.356934,1.953125,-1.89209
2025-03-14 14:39:54.549000025+00:00,4.205654910000001,-6.64378326,4.85709777,3.417969,1.037598,-1.708984
2025-03-14 14:39:54.559000015+00:00,4.25834442,-6.6342087,4.91458437,3.051758,0.488281,-1.037598
2025-03-14 14:39:54.569000006+00:00,4.19607054,-6.650973990000001,4.92655257,2.563477,0.366211,-0.610352
2025-03-14 14:39:54.578999996+00:00,4.19847399,-6.71323806,4.92415893,2.197266,-0.305176,-0.366211
2025-03-14 14:39:54.588999987+00:00,4.2152392800000005,-6.7180253400000005,4.940924220000001,1.953125,-1.159668,-0.183105
2025-03-14 14:39:54.598999977+00:00,4.2152392800000005,-6.70605714,4.9337433,1.464844,-1.89209,0.0
2025-03-14 14:39:54.608999968+00:00,4.21044219,-6.6821011200000004,4.9457115,1.037598,-2.380371,0.12207
2025-03-14 14:39:54.618999958+00:00,4.20086763,-6.64857054,4.960083150000001,0.549316,-2.746582,0.244141
2025-03-14 14:39:54.630000114+00:00,4.2152392800000005,-6.60785904,4.962476789999999,-0.12207,-3.051758,0.12207
2025-03-14 14:39:54.640000105+00:00,4.22002656,-6.58150938,4.9337433,-0.854492,-3.234863,0.244141
2025-03-14 14:39:54.650000095+00:00,4.21283583,-6.583912830000001,4.90260636,-1.647949,-3.295898,0.366211
2025-03-14 14:39:54.660000086+00:00,4.17691161,-6.61983705,4.900212720000001,-2.502441,-3.356934,0.488281
2025-03-14 14:39:54.670000076+00:00,4.1553590400000004,-6.674920200000001,4.88105379,-3.173828,-3.601074,0.427246
2025-03-14 14:39:54.680000067+00:00,4.14098739,-6.73479063,4.88344743,-3.234863,-4.02832,0.244141
2025-03-14 14:39:54.690000057+00:00,4.16733705,-6.780299220000001,4.84752321,-3.479004,-4.516602,0.061035
2025-03-14 14:39:54.700000048+00:00,4.1936769,-6.8138298,4.84511976,-3.479004,-5.065918,0.0
2025-03-14 14:39:54.710000038+00:00,4.21044219,-6.852147660000001,4.81638627,-3.234863,-5.615234,-0.244141
2025-03-14 14:39:54.720000029+00:00,4.34217087,-6.8713065900000005,4.77327132,-2.685547,-5.004883,-0.12207
2025-03-14 14:39:54.730000019+00:00,4.18888962,-6.852147660000001,4.76130312,-2.13623,-3.90625,-0.12207
2025-03-14 14:39:54.740000010+00:00,4.23439821,-6.78748995,4.80919554,-2.075195,-4.638672,-0.366211
2025-03-14 14:39:54.750000+00:00,4.30624665,-6.77072466,4.8259608300000005,-2.13623,-4.455566,-0.12207
2025-03-14 14:39:54.759000063+00:00,4.27750335,-6.77551194,4.79722734,-2.380371,-3.601074,-0.244141
2025-03-14 14:39:54.769000053+00:00,4.33019286,-6.78988359,4.7948337,-2.685547,-3.051758,0.0
2025-03-14 14:39:54.779000044+00:00,4.26552534,-6.809042520000001,4.78524933,-2.319336,-1.525879,0.366211
2025-03-14 14:39:54.789000034+00:00,4.169730690000001,-6.7779055800000005,4.79722734,-2.502441,-1.525879,0.183105
2025-03-14 14:39:54.799000025+00:00,4.1793052500000005,-6.79227723,4.76130312,-3.051758,-2.624512,0.061035
2025-03-14 14:39:54.809000015+00:00,4.1793052500000005,-6.83298873,4.7325598200000005,-3.479004,-3.417969,0.061035
2025-03-14 14:39:54.819000006+00:00,4.10745681,-6.88807188,4.7205818100000005,-3.723145,-4.150391,0.427246
2025-03-14 14:39:54.828999996+00:00,4.14098739,-6.902443530000001,4.6726795800000005,-3.78418,-5.493164,0.671387
2025-03-14 14:39:54.838999987+00:00,4.2032612700000005,-6.86651931,4.63436172,-3.967285,-6.103516,0.305176
2025-03-14 14:39:54.848999977+00:00,4.263131700000001,-6.87849732,4.66071138,-4.150391,-5.187988,-0.061035
2025-03-14 14:39:54.858999968+00:00,4.28469408,-6.9072406200000005,4.68944487,-4.02832,-3.112793,-0.366211
2025-03-14 14:39:54.868999958+00:00,4.21763292,-6.88807188,4.70621016,-3.78418,-1.586914,-0.610352
2025-03-14 14:39:54.880000114+00:00,4.13141283,-6.86173203,4.6966356000000005,-3.845215,-2.807617,-0.671387
2025-03-14 14:39:54.890000105+00:00,4.28948136,-6.957536490000001,4.64633973,-4.699707,-5.92041,0.0
2025-03-14 14:39:54.900000095+00:00,4.38527601,-6.983876340000001,4.58645949,-3.662109,-7.263184,1.037598
2025-03-14 14:39:54.910000086+00:00,4.3325865,-6.88567824,4.569694200000001,-1.831055,-6.103516,0.610352
2025-03-14 14:39:54.920000076+00:00,4.37809509,-6.828201450000001,4.59604386,-0.915527,-3.845215,-0.732422
2025-03-14 14:39:54.930000067+00:00,4.46910246,-6.890475330000001,4.66071138,-0.732422,-0.610352,-1.89209
2025-03-14 14:39:54.940000057+00:00,4.40923203,-6.9886636200000005,4.6726795800000005,-0.488281,2.01416,-2.502441
2025-03-14 14:39:54.950000048+00:00,4.25595078,-7.03417221,4.57688493,-0.183105,2.319336,-2.319336
2025-03-14 14:39:54.960000038+00:00,4.11943482,-7.043756580000001,4.44276261,0.244141,0.793457,-1.281738
2025-03-14 14:39:54.970000029+00:00,4.10506317,-7.0605218700000005,4.39486038,0.854492,-0.854492,-0.12207
2025-03-14 14:39:54.980000019+00:00,4.18410234,-7.09405245,4.4259973200000005,1.77002,-1.586914,0.610352
2025-03-14 14:39:54.990000010+00:00,4.28469408,-7.062915510000001,4.46910246,2.807617,-0.915527,0.549316
2025-03-14 14:39:55+00:00,4.34217087,-7.02699129,4.50982377,3.540039,0.366211,0.0
2025-03-14 14:39:55.009000063+00:00,4.380488730000001,-7.01501328,4.57449129,3.845215,1.525879,-0.610352
2025-03-14 14:39:55.019000053+00:00,4.44276261,-7.03656585,4.57688493,3.967285,2.441406,-0.915527
2025-03-14 14:39:55.029000044+00:00,4.50743013,-7.06770279,4.57688493,4.211426,3.967285,-1.037598
2025-03-14 14:39:55.039000034+00:00,4.51221741,-7.03177857,4.6152027900000006,5.004883,5.981445,-1.281738
2025-03-14 14:39:55.049000025+00:00,4.4140193100000005,-6.9407712,4.651127010000001,5.737305,7.995605,-1.831055
2025-03-14 14:39:55.059000015+00:00,4.32540558,-6.8593383900000005,4.708603800000001,5.859375,9.216309,-2.380371
2025-03-14 14:39:55.069000006+00:00,4.28948136,-6.82341417,4.7373471,5.371094,9.338379,-2.563477
2025-03-14 14:39:55.078999996+00:00,4.21283583,-6.8138298,4.7205818100000005,4.882813,9.094238,-2.563477
2025-03-14 14:39:55.088999987+00:00,4.11943482,-6.7779055800000005,4.6846575900000005,4.760742,8.789063,-2.624512
2025-03-14 14:39:55.098999977+00:00,4.0835106,-6.696472770000001,4.6846575900000005,5.004883,8.300781,-2.624512
2025-03-14 14:39:55.108999968+00:00,4.07871351,-6.653367630000001,4.722975450000001,5.187988,7.629395,-2.563477
2025-03-14 14:39:55.118999958+00:00,4.06913895,-6.67013292,4.77087768,5.371094,6.652832,-2.502441
2025-03-14 14:39:55.130000114+00:00,4.0547673,-6.698866410000001,4.83075792,5.737305,5.249023,-2.380371
2025-03-14 14:39:55.140000105+00:00,4.07631987,-6.71084442,4.89302199,5.981445,3.601074,-1.953125
2025-03-14 14:39:55.150000095+00:00,4.145774670000001,-6.72521607,4.92894621,5.981445,2.13623,-1.281738
2025-03-14 14:39:55.160000086+00:00,4.2152392800000005,-6.737194080000001,4.940924220000001,5.67627,0.976563,-0.610352
2025-03-14 14:39:55.170000076+00:00,4.28469408,-6.76353393,4.94331786,5.432129,0.366211,0.0
2025-03-14 14:39:55.180000067+00:00,4.32779922,-6.7779055800000005,4.91937165,5.126953,0.488281,0.427246
